time,REE_open,REE_high,REE_low,REE_close,REE_volume,FMC_open,FMC_high,FMC_low,FMC_close,FMC_volume,DHC_open,DHC_high,DHC_low,DHC_close,DHC_volume
2024-07-31,68.06,68.65,66.88,68.65,2042585,48.85,49.05,48.8,48.9,11600,37.41,37.99,37.36,37.99,162460
2024-08-01,68.46,68.46,65.1,66.98,1598854,49.0,49.0,47.05,48.45,27000,37.89,37.89,37.12,37.5,153464
2024-08-02,64.91,69.34,64.91,69.34,1562939,48.45,49.05,47.5,48.95,42100,37.07,37.41,36.92,37.12,112410
2024-08-05,67.86,67.86,64.51,64.51,1152417,48.5,48.9,47.05,47.05,29100,37.07,37.07,35.46,36.19,377103
2024-08-06,64.61,66.19,64.31,65.79,662287,46.6,47.1,46.5,47.1,24600,36.0,36.44,34.98,35.56,639919
2024-08-07,66.09,66.29,64.91,64.91,427579,47.2,47.2,46.75,46.75,17100,35.56,35.95,35.56,35.75,44465
2024-08-08,64.91,66.38,64.81,65.4,486844,47.2,47.55,47.0,47.0,12300,36.14,36.34,35.37,35.85,247171
2024-08-09,66.29,66.38,65.69,66.09,545300,47.3,47.85,47.1,47.55,12200,35.9,36.53,35.9,36.34,83769
2024-08-12,66.09,68.55,66.09,67.96,822176,47.55,47.7,47.55,47.55,10900,36.82,36.87,36.24,36.87,155217
2024-08-13,67.86,68.06,66.09,66.88,727785,47.6,47.8,47.4,47.65,10400,36.92,37.02,36.63,36.92,68986
2024-08-14,67.57,68.55,66.58,68.06,691646,47.7,47.8,47.65,47.75,24700,36.82,37.41,36.82,36.92,81526
2024-08-15,68.06,68.16,66.48,66.58,575484,47.75,47.8,46.5,47.05,16100,36.92,37.26,36.44,36.92,98285
2024-08-16,66.68,68.95,66.68,68.95,1121059,47.55,48.0,47.5,47.7,14700,36.82,37.41,36.82,37.36,162995
2024-08-19,68.95,70.33,68.65,69.34,968709,47.85,48.4,47.85,48.25,17800,37.7,37.7,37.31,37.41,43820
2024-08-20,69.34,69.44,68.36,68.95,738417,48.25,48.45,48.0,48.1,8500,37.12,37.41,37.12,37.36,87502
2024-08-21,69.25,69.74,68.55,69.15,747580,48.2,48.4,47.95,48.05,26700,37.36,37.6,37.26,37.41,137665
2024-08-22,69.64,69.64,68.65,68.75,604774,48.05,48.1,48.0,48.1,6700,37.41,37.5,36.92,37.36,109275
2024-08-23,68.55,69.74,68.55,69.64,888460,48.1,48.2,48.0,48.05,7100,37.36,37.36,36.92,37.31,62202
2024-08-26,70.33,70.63,68.46,69.05,678177,48.05,48.3,48.0,48.05,18500,37.31,37.5,37.12,37.21,61520
2024-08-27,68.65,69.05,67.47,67.67,694135,48.05,48.8,48.05,48.5,37900,37.16,37.21,36.92,37.07,77718
2024-08-28,67.77,68.06,67.27,67.67,531151,48.6,48.8,48.5,48.5,19700,37.07,37.12,36.78,37.02,115322
2024-08-29,67.57,68.06,67.47,68.06,329921,47.65,48.5,47.65,48.1,12200,36.92,37.02,36.48,37.02,203182
2024-08-30,67.77,68.26,67.57,67.67,342819,48.1,48.3,47.95,48.15,12200,36.87,36.97,36.63,36.97,98063
2024-09-04,67.08,67.17,66.09,66.09,771476,48.15,48.15,47.7,48.1,26300,36.97,36.97,36.44,36.44,96980
2024-09-05,66.19,66.58,64.21,64.41,1122537,48.0,48.1,47.75,47.9,17100,36.44,36.68,36.0,36.0,203728
2024-09-06,64.12,65.0,62.93,64.71,934374,48.2,48.2,47.0,47.0,53700,36.0,36.14,35.8,35.95,184448
2024-09-09,64.81,65.89,64.71,65.2,510059,47.3,47.3,46.7,46.7,35600,35.9,36.44,35.9,36.34,65445
2024-09-10,65.4,65.6,64.02,64.12,656484,46.8,47.0,46.7,46.75,24100,36.63,36.63,35.8,35.85,126589
2024-09-11,64.12,65.1,64.02,64.21,493269,46.7,46.7,45.6,46.3,15900,35.85,36.34,35.75,36.14,117837
2024-09-12,65.0,65.0,64.21,64.81,281840,46.3,46.85,46.3,46.5,65200,36.24,36.29,35.95,36.05,59733
2024-09-13,64.81,65.1,64.61,64.81,261429,46.8,46.8,46.45,46.45,24200,36.05,36.14,35.9,36.05,67233
2024-09-16,64.91,64.91,63.82,63.82,567485,46.5,46.9,46.45,46.5,16800,36.09,36.09,35.8,35.9,123854
2024-09-17,64.12,64.12,63.23,64.02,834652,46.5,46.7,45.65,46.7,14900,35.95,36.05,35.9,35.95,63203
2024-09-18,64.12,65.1,64.12,64.91,638386,46.7,46.7,46.45,46.5,57000,36.24,36.24,35.95,36.09,88420
2024-09-19,65.1,65.6,64.91,65.2,478001,47.0,47.0,46.45,46.8,23300,36.09,36.73,36.09,36.53,82898
2024-09-20,65.6,66.29,65.6,65.69,846625,46.8,47.35,46.8,47.0,31900,36.48,36.63,36.44,36.53,77421
2024-09-23,65.89,66.09,65.69,65.79,492915,47.05,47.3,46.8,47.0,13500,36.97,36.97,36.34,36.44,43142
2024-09-24,65.79,66.09,65.5,65.69,459452,47.0,47.25,46.8,47.05,15500,36.44,36.44,36.24,36.39,35540
2024-09-25,65.99,66.88,65.69,66.58,689545,47.3,47.3,47.0,47.1,35700,36.58,36.63,35.95,36.24,361068
2024-09-26,66.98,67.27,66.48,66.48,567073,47.0,47.3,46.7,47.0,41100,36.24,36.34,36.14,36.19,71572
2024-09-27,66.58,67.08,65.69,65.79,483680,47.0,47.15,46.8,47.0,49600,36.19,36.24,36.05,36.19,79295
2024-09-30,65.5,65.99,65.3,65.69,369025,46.75,47.15,46.75,47.05,43400,35.95,36.44,35.95,36.09,77144
2024-10-01,65.79,66.29,65.69,65.79,444815,47.05,47.05,46.85,46.9,18700,36.09,36.78,36.09,36.53,205858
2024-10-02,65.5,66.88,65.5,66.48,674129,46.75,46.75,46.65,46.75,32500,36.44,36.53,36.24,36.24,56601
2024-10-03,66.88,67.08,65.69,65.89,476916,47.0,47.1,46.4,46.5,64000,36.24,36.92,35.85,36.44,204735
2024-10-04,66.09,66.09,65.4,65.4,340230,46.5,47.55,46.3,46.35,43200,36.44,36.53,36.24,36.24,55701
