time,REE_close,FMC_close,DHC_close
2024-12-03,66.88,48.8,34.98
2024-12-04,66.29,48.85,34.78
2024-12-05,67.47,48.7,35.17
2024-12-06,66.88,49.0,34.93
2024-12-09,66.88,48.3,34.98
2024-12-10,66.48,48.3,35.27
2024-12-11,65.69,48.1,35.12
2024-12-12,65.1,47.85,34.54
2024-12-13,65.6,47.25,34.3
2024-12-16,65.3,46.7,34.1
2024-12-17,65.6,46.55,33.81
2024-12-18,66.88,47.0,34.25
2024-12-19,66.38,46.5,34.25
2024-12-20,66.78,46.9,34.78
2024-12-23,67.08,46.75,37.12
2024-12-24,66.58,47.45,37.16
2024-12-25,67.77,47.4,37.7
2024-12-26,67.08,47.7,37.5
2024-12-27,67.08,46.85,37.21
2024-12-30,66.09,46.85,36.39
2024-12-31,66.98,47.0,36.63
2025-01-02,66.09,46.65,36.68
2025-01-03,64.51,46.6,37.46
2025-01-06,63.13,46.2,36.92
2025-01-07,63.92,45.9,35.9
2025-01-08,63.23,46.45,35.95
2025-01-09,63.52,45.95,35.85
2025-01-10,63.43,45.05,35.12
2025-01-13,64.12,45.8,35.07
2025-01-14,64.51,45.5,34.59
2025-01-15,64.02,46.0,35.66
2025-01-16,64.71,46.0,35.56
2025-01-17,65.79,46.35,35.95
2025-01-20,65.99,45.9,35.51
2025-01-21,65.1,45.9,35.17
2025-01-22,64.51,46.35,35.17
2025-01-23,65.0,46.6,35.37
2025-01-24,64.12,46.5,35.22
2025-02-03,64.41,46.2,33.62
2025-02-04,65.1,47.1,33.57
2025-02-05,65.6,46.6,33.91
2025-02-06,65.1,47.2,33.71
2025-02-07,65.89,48.0,34.01
2025-02-10,65.89,47.65,33.52
2025-02-11,66.58,47.0,33.37
2025-02-12,67.08,46.8,33.37
2025-02-13,66.98,46.8,33.37
2025-02-14,66.58,46.8,33.91
2025-02-17,65.79,46.5,34.05
2025-02-18,66.58,46.6,34.15
2025-02-19,71.22,46.9,34.01
2025-02-20,71.12,46.95,34.39
2025-02-21,71.02,46.95,34.1
2025-02-24,73.98,47.0,33.96
2025-02-25,73.29,46.9,34.2
2025-02-26,72.6,46.45,34.3
2025-02-27,74.0,46.75,34.25
2025-02-28,72.4,47.6,34.25
2025-03-03,72.6,47.8,34.69
2025-03-04,73.1,48.65,34.54
2025-03-05,73.1,49.25,34.15
2025-03-06,73.7,49.45,34.15
2025-03-07,73.3,49.45,34.1
2025-03-10,75.0,49.45,33.9
2025-03-11,74.6,49.05,33.6
2025-03-12,73.8,49.05,33.45
2025-03-13,72.2,48.05,33.05
2025-03-14,70.9,48.2,32.8
2025-03-17,70.8,48.0,32.9
2025-03-18,71.3,47.8,32.85
2025-03-19,70.1,47.75,32.6
